Date,Authors,Dispatch Locations,City,State,Country,URL,,
4/30/25,Ghinwa Jawhari,"Beirut, Lebanon",Beirut,,Lebanon,/dispatch-from-lebanon-2023/,,
04/16/25,Monika Cassel,"Berlin, Germany",Berlin,,Germany,/glass-five-sonnets/,,figure-image magnific
03/05/25,Shelley Stenhouse,"Chicago, Illinois",Chicago,Illinois,United States,/when-i-go-to-chicago/,,
02/19/25,Thila Varghese,Marutha Nilam,,,India,/dispatch-from-marutha-nilam/,,
02/05/25,Christopher Ayala,"Phoenix, Arizona, US",Phoenix,Arizona,United States,/dispatch-from-camelback-mountain/,,
01/22/25,Christy Tending,"Beppu-shi, Oita Prefecture, Japan",,,Japan,/in-fall-the-persimmon-trees-light-their-lanterns/,,
11/27/24,Sandy R Longhorn,"Arkansas State Parks, Arkansas",,Arkansas,USA,/three-poems-from-arkansas/,,
11/13/24,Afton Montgomery,"Moscow, ID",Moscow,Idaho,USA,/dispatch-from-moscow/,,
10/30/2024,Brandon M Kilbourne,"Ellesmere Island, Nunavut, Canada",Ellesmere Island,Nunavut,Canada,/dispatches-from-ellesmere/,,
10/2/24,Sarah Carson,"Genessee, Michigan",Genessee,Michigan,USA,/forbes-and-martha/,,
9/18/2024,Stella Wong,"Småland, Sweden",Smaland,,Sweden,/two-poems-stella-wong/,,
8/21/2024,JoeAnn Hart,"Gloucester, Massachusetts",Gloucester,Massachusetts,USA,/brace-cove/,,
8/7/24,Lily Lucas Hodges,"San Francisco, CA",San Francisco,California,USA,/genealogies/,,
7/24/24,Lake Angela,"Diamondsville, Pennsylvania",Diamondsville,Pennsylvania,USA,/in-diamondville-five-poems/,,
7/10/24,Edward Lees,"Lahaina, Maui",Lahaina,Hawai‘i,USA,/hoomanao/,,
6/12/24,Mary Leauna Christensen,"Cherokee, NC and Phoenix, AZ","Cherokee, Phoenix","North Carolina, Arizona",USA,/para,,
05/01/24,Charisse Baldoria,"Manila, Philippines",Manila,,Philippines,/salamisim/,,
04/17/24,Hannah T Jansen,"Rockport, Maine",Rockport ,Maine,USA,/saturday,,
3/20/24,Sarah Dunphy-Lelii,Lake Katrine,,New York,USA,/susan,,
3/6/24,Maw Shein Win,"Yucca Valley, California",Yucca Valley,California,USA,/mala-beads,,
2/21/24,Elliot Rappaport,At Sea,,Maine,USA,/ship-happens/,,
2/7/24,Noh Anothai,Bangkok,,,Thailand,/some-syllables-slurred/,,
12/13/23,David M Brunson,"Santiago/Chillán, Chile","Santiago, Chillán",,Chile,/shenyang-in-search-of-reverse-donkeys,,
11/15/23,"Aronne Guy, Jim Guy",Oregon,,Oregon,USA,/fruit-tramps-moving-on/,,
10/18/23,Siddharth - Dasgupta,Bombay/Poona,Bombay/Poona,,India ,/the-city-in-two-neighborhoods,,
08/23/23,Anne P Beatty,"Stone Mountain, NC",Stone Mountain,North Carolina,USA,/into-the-woods,,
08/09/23,Michael Mercurio,"Providence, RI",Providence,RI,USA,/two-poems-by-michael-mercurio/,,
07/26/23,G.G. Harrow,Eastern Kentucky,,Kentucky,USA,/four-country-sonnets-with-attachments/,,
07/12/23,Rob Spillman,Catskill,Catskill,NY,USA,/pastoral-resistance/,,
6/28/23,darlene west,"British Columbia, Canada",,,Canada,/wonder,,
5/17/23,Kelly McMasters,"Long Island, NY",Long Island,NY,USA,/still-life-3-the-suburbs,,
4/26,Cynthia Graae,"Eastern Shore, Maryland",Eastern Shore,Maryland,USA,/fowl-play/,,
4/12/23,Elaine Reardon,Kharpert,Kharpert,,Turkey,/two-poems-by-elaine-reardon/,,
3/29/23,Kei Lim,Colorado,,Colorado,USA,/evergreen/,,
3/1/23,Rana Tahir,"Kuwait City, Kuwait",Kuwait City,,Kuwait,/two-poems-trenches-at-showbiz-kuwait-city-and-coming-home,,
2/15/23,Afton Montgomery,"Moscow, Idaho",Moscow,Idaho,USA,/dispatch-from-moscow-idaho,,
2/1/23,Urvi Kumbhat,"Calcutta, India",Calcutta,,India,/monsoon/,,
1/18/23,Mary Bergman,"Provincetown and Nantucket, MA",Provincetown and Nantucket,MA,USA,/effluent-of-the-affluent/,,
